HG Story Title	Author	Genre	Subgenre (if applicable)	Word Count	# of Omnibus Ratings	Omnibus Rating	# of Steam Reviews	% of Positive Steam Reviews	# of Google Reviews	# of GPS Installs	GPS Score	Release Date	Price	Free?
The Magician’s Burden	Samuel Harrison Young	Fantasy		230000	558	4.7	12	42%	281	10k+	3.9	8/16/2018	$4.99	Nope
The Haze Under Windbrooke	Jesse Freeman	Fantasy	Supernatural	120000	57	3.4			78	1k+	2.7	8/16/2018	$2.99	Nope
The Grim and I	Thom Baylay	Supernatural	Horror	160000	902	4.8	9	89%	1032	50k+	4.4	9/27/2018	$3.99	Nope
The Twelve Trials	Douglas DiCicco	Fantasy		160000	270	4.5	8	50%	138	10k+	4.1	9/27/2018	$2.99	Nope
Nuclear Powered Toaster	Matt Simpson	Sci-Fi	Humor	160000	53	4.5	0	N/A	66	1k+	4.1	10/25/2018	$2.99	Nope
Love at Elevation	Steve Wingate	Romance	Slice of life	320000	806	4.3	15	40%	302	10k+	3.5	11/5/2018	$5.99	Nope
Missing Wings	Carlos Romero	Puzzle	Fantasy	140000	17	3.7			53	1k+	2.6	11/12/2018	$3.99	Nope
The Slayer of Evil	Ivailo Daskalov	Fantasy		57000	23	4.2			38	1k+	2.6	11/12/2018	$1.99	Nope
The Butler Did It	Daniel J. Elliot	Steampunk	Puzzle	300000	125	4.6			96	5k+	4.4	11/22/2018	$4.99	Nope
Critical Mass: The Bridge	Michael Meillarec	Post-apocalyptic		160000	140	4.2			46	5k+	3.5	11/22/2018	$2.99	Nope
Life of a Mercenary	Philip Kempton	Fantasy	Historical	340000	13260	4.6	6	100%	10060	100k+	4.4	12/18/2018	$3.99	Yup
Gladiator: Road to the Colosseum	Foong Yi Zhuan	Historical		220000	967	4.4	6	33%	535	10k+	3.8	1/17/2019	$3.99	Nope
Keeper of the Sun and Moon	Brynn Chernosky	Supernatural	School	320000	3359	4.7	16	88%	748	10k+	4.5	1/24/2019	$3.99	Nope
